date,Close,Volume,Open,High,Low
2014/07/03,39.54,2693102,39.185,39.54,38.8819
2014/07/02,38.795,3408412,38.695,38.995,38.59
2014/07/01,38.645,2752484,37.765,38.925,37.74
2014/06/30,37.39,2268642,37.18,37.68,37.09
2014/06/27,37.115,3076442,36.605,37.22,36.585
2014/06/26,36.75,3647962,36.75,36.75,35.875
2014/06/25,36.65,3521828,35.73,36.8449,35.725
2014/06/24,35.995,6676606,36.095,36.9931,35.685
2014/06/23,36.095,2891932,36.045,36.13,35.79
2014/06/20,36.055,2358092,36.005,36.19,35.8
2014/06/19,35.925,4413684,36.195,36.26,35.474
2014/06/18,36.065,4782438,35.565,36.17,34.91
2014/06/17,35.42,3984824,35.315,35.715,35.1205
2014/06/16,35.37,3746038,35.13,35.675,34.87
2014/06/13,35.24,3000758,35.45,35.545,34.835
2014/06/12,35,5037228,35.725,35.84,34.6
2014/06/11,35.94,4040802,35.59,36.105,35.515
2014/06/10,35.995,3031700,35.685,36.025,35.575
2014/06/09,35.79,5171834,35.93,36.06,35.505
2014/06/06,35.855,3300734,35.7,35.89,35.455
2014/06/05,35.285,7337858,34.5,35.465,34.145
2014/06/04,34.39,4389874,33.76,34.56,33.6051
2014/06/03,34.03,3962416,33.73,34.19,33.61
2014/06/02,34.08,4214316,34.3,34.3195,33.42
2014/05/30,34.1655,4722278,34.195,34.34,33.64
2014/05/29,34.195,3636384,33.89,34.195,33.6782
2014/05/28,33.515,4934638,33.805,33.95,33.44
2014/05/27,33.835,4932786,33.065,33.845,32.965
2014/05/23,32.61,3963588,32.03,32.625,31.815
2014/05/22,31.895,5269974,31.59,32.18,31.4631
2014/05/21,31.505,5145830,30.78,31.545,30.74
2014/05/20,30.64,6760210,30.94,31.26,30.25
2014/05/19,30.98,5021996,30.06,31.105,29.9163
2014/05/16,30.33,5948422,29.84,30.39,29.26
2014/05/15,29.775,8393958,30.445,30.61,29.18
2014/05/14,30.48,4109794,30.685,31.03,30.26
2014/05/13,30.94,4900698,30.985,31.305,30.77
2014/05/12,30.875,5317040,29.975,30.915,29.8876
2014/05/09,29.44,6516914,29.07,29.5,28.495
2014/05/08,29.1,9127560,28.91,30.17,28.7
2014/05/07,29.2,10903966,29.69,29.7327,28.17
2014/05/06,29.465,6727818,30.515,30.56,29.433
2014/05/05,30.65,4824632,29.65,30.67,29.43
2014/05/02,30.22,6329330,30.635,30.825,29.974
2014/05/01,30.37,5989464,30.235,30.86,30
2014/04/30,30.1,7658552,29.465,30.17,29.2001
2014/04/29,29.835,10149300,29.42,30.005,28.9975
2014/04/28,29.19,20072020,29.265,29.7849,27.795
2014/04/25,28.88,10197796,29.785,29.8893,28.6675
2014/04/24,30.345,10448962,30.955,30.96,29.37
2014/04/23,29.475,5417778,30.28,30.305,29.435
2014/04/22,30.3,6262410,29.855,30.5,29.7401
2014/04/21,29.575,6008298,29.15,29.58,28.7365
2014/04/17,28.92,7359404,28.62,29.365,28.375
2014/04/16,28.905,10472808,28.54,28.92,27.86
2014/04/15,27.825,23402780,27.82,28.285,26.09
2014/04/14,27.55,11714088,27.61,27.975,26.795
2014/04/11,26.945,8828150,27.155,28.215,26.75
2014/04/10,27.92,13419822,30.82,30.825,27.66
2014/04/09,30.76,9246990,29.57,30.8008,29.345
2014/04/08,29.26,10134516,28.57,29.36,28.255
2014/04/07,28.465,13026986,28.76,29.545,27.865
2014/04/04,29.345,15424974,32.44,32.58,29.06
2014/04/03,31.875,6646362,32.745,32.88,31.3
2014/04/02,32.645,6791434,32.805,32.885,32.19
2014/04/01,32.39,7418182,31.22,32.43,31.185
2014/03/31,30.725,6755872,30.81,31.355,30.71
2014/03/28,30.125,6929644,30.225,31.1,29.875
2014/03/27,29.93,8416490,30.35,30.74,29.44
2014/03/26,30.47,8388618,32.165,32.355,30.445
2014/03/25,31.675,7188226,31.89,32.465,30.905
2014/03/24,31.385,11088702,32.595,32.6545,30.505
2014/03/21,32.195,8262552,33.97,34.05,32.045
2014/03/20,33.42,3651598,32.85,33.725,32.64
2014/03/19,33.16,5684202,33.745,33.84,32.5
2014/03/18,33.715,4710088,32.645,33.815,32.625
2014/03/17,32.545,4871202,32.29,33.02,32.255
2014/03/14,31.7,4471656,32.015,32.465,31.6605
2014/03/13,32.365,7829946,34.175,34.215,31.91
2014/03/12,33.8,4567166,32.985,33.85,32.6
2014/03/11,33.425,4989236,34.115,34.36,33.13
2014/03/10,33.845,3149290,33.72,33.915,33.21
2014/03/07,33.775,5521598,34.635,34.705,33.27
2014/03/06,34.265,3866126,34.6,34.69,33.9151
2014/03/05,34.395,3205442,34.275,34.555,34.05
2014/03/04,34.115,4541394,33.905,34.28,33.83
2014/03/03,32.795,6606158,32.62,33.1,31.965
2014/02/28,33.53,5688842,33.705,34.29,32.715
2014/02/27,33.7,3665188,33.085,33.805,32.9323
2014/02/26,33.05,3455274,33.45,33.725,32.68
2014/02/25,33.16,3873334,33.415,33.61,32.845
2014/02/24,33.28,4143292,32.905,33.72,32.8
2014/02/21,32.705,3499038,33.185,33.3326,32.64
2014/02/20,32.875,4276200,32.48,33.07,32.09
2014/02/19,32.405,5688746,32.935,33.155,32.23
2014/02/18,33.13,2887154,32.785,33.3049,32.56
2014/02/14,32.62,3958340,32.48,32.86,32.135
2014/02/13,32.525,4437498,31.03,32.525,31.02
2014/02/12,31.71,4518118,31.75,31.95,31.46
2014/02/11,31.56,4895492,30.69,31.7362,30.615
2014/02/10,30.515,3470292,29.98,30.555,29.915
2014/02/07,29.965,4659096,28.955,30.0574,28.71
2014/02/06,28.455,3082498,27.685,28.575,27.64
2014/02/05,27.405,4521408,27.375,27.725,26.5
2014/02/04,27.66,3777798,27.465,27.965,27.225
2014/02/03,27.13,7662190,28.895,29.3097,26.835
2014/01/31,29.055,3522186,28.31,29.475,28.23
2014/01/30,29.26,4851638,28.795,29.585,28.695
2014/01/29,27.795,5686406,27.94,28.565,27.59
2014/01/28,28.7,4562064,28.265,28.775,28.15
2014/01/27,28.71,7400736,29.605,29.745,28.1
2014/01/24,29.57,6196996,30.965,31.13,29.565
